t_index   term                   df
1     aan                     1
2     aaron                   2
3     ab                      1
4     aback                   1
5     abahd                   1
6     abandon                39
7     abat                    1
8     abc                    49
9     abcnew                  3
10     abdallah                2
11     abdel                   3
12     abdomin                 2
13     abduct                  2
14     abdul                  16
15     abdullah               40
16     abdurahman              1
17     aberr                   1
18     abhad                   1
19     abhiyan                 1
20     abhorr                  2
21     abid                    8
22     abidin                  4
23     abidjan                36
24     abijan                  1
25     abil                   32
26     abl                   105
27     ablaz                   3
28     abnorm                  1
29     aboard                 93
30     abobo                   3
31     abolish                 4
32     abomin                  1
33     abort                   7
34     abou                    1
35     abound                  4
36     abov                   43
37     abovo                   1
38     abraham                10
39     abreast                 1
40     abrego                  1
41     abroad                 52
42     abrog                   2
43     abrupt                  1
44     abruptli                4
45     abscam                  1
46     absenc                  6
47     absent                  4
48     absente                 7
49     absentia                3
50     absolut                43
51     absorb                 10
52     abstain                 1
53     abstent                 1
54     absurd                  2
55     abu                     7
56     abund                   2
57     abus                   29
58     abuzaakouk              1
59     abyan                   5
60     abyssinian              1
61     academ                  6
62     academi                 4
63     academia                1
64     acced                   1
65     acceler                 4
66     accent                  2
67     accentu                 2
68     accept                124
69     access                 41
70     accid                  32
71     accident                3
72     accommod               11
73     accompani              33
74     accomplic               5
75     accomplish             10
76     accord                145
77     accordingli             1
78     accordion               1
79     account               125
80     accredit                1
81     accumul                 2
82     accur                  14
83     accuraci                1
84     accus                 131
85     accustom                2
86     ace                    27
87     acerb                   2
88     achiev                 32
89     acid                    2
90     acknowledg             55
91     acolyt                  1
92     acosta                  1
93     acquaint                1
94     acquiesc                1
95     acquir                  5
96     acquisit                1
97     acquit                  5
98     acquitt                 3
99     acr                     1
100     acrimoni                2
101     acrobat                 5
102     acronym                 1
103     across                120
104     act                   135
105     action                 95
106     activ                  90
107     activist               19
108     actor                   4
109     actress                 2
110     actual                 66
111     ad                    119
112     adam                    8
113     adapt                   5
114     add                    18
115     adden                   1
116     addit                  74
117     address                64
118     adem                    1
119     aden                  169
120     adequ                   7
121     adher                   4
122     adiksa                  1
123     adjac                   4
124     adjam                   2
125     adjoin                  3
126     adjourn                 3
127     adjust                  7
128     adlai                   1
129     adm                    44
130     admen                   1
131     administ                9
132     administr             115
133     admir                  38
134     admiralti               1
135     admiringli              1
136     admiss                  2
137     admit                  40
138     ado                     2
139     adob                    1
140     adolesc                 2
141     adopt                  17
142     adorn                   1
143     adoubi                  1
144     adra                    1
145     adrain                  1
146     adrenalin               1
147     adriat                  1
148     adrift                  4
149     adult                  10
150     advanc                 66
151     advani                  1
152     advantag               21
153     adventist               1
154     adventur                2
155     advers                  2
156     adversari               2
157     advertis               12
158     advic                   6
159     advis                  84
160     advisor                10
161     advisori                2
162     advoc                  13
163     advocaci                2
164     aegi                    5
165     aerial                  3
166     aeroflot                1
167     af                      1
168     affabl                  1
169     affair                 48
170     affect                 29
171     affection               1
172     affili                  6
173     affirm                  6
174     afflict                 1
175     afford                  7
176     affront                 2
177     afghan                 17
178     afghanistan            46
179     afi                     2
180     afibia                  1
181     afield                  1
182     afir                    2
183     afl                     2
184     afloat                 13
185     afoul                   1
186     afraid                 28
187     afredo                  1
188     africa                 65
189     african                49
190     aft                     3
191     aftehock                1
192     aftermath              14
193     afternoon              64
194     aftershock             43
195     afterward              13
196     afundament              1
197     agarw                   1
198     agassi                 47
199     agbayani                1
200     age                    42
201     agenc                 117
202     agenda                 14
203     agent                  83
204     ager                    8
205     agglomer                1
206     aggrav                 12
207     aggress                24
208     agil                    1
209     agit                    1
210     ago                   207
211     agon                    6
212     agoni                   3
213     agonizingli             1
214     agre                   77
215     agreement              49
216     agricultur             15
217     agustin                 1
218     ah                      1
219     aha                     1
220     ahead                  53
221     ahemdabad               1
222     ahm                    15
223     ahmad                   1
224     ahmadabad               2
225     ahmar                   1
226     ahmedabad              20
227     ahold                   1
228     ahren                   1
229     ai                      1
230     aid                   158
231     aida                    2
232     ail                     5
233     ailment                 1
234     aim                    35
235     ainst                   1
236     air                   175
237     aircraft               27
238     airdrop                 2
239     airfield                1
240     airforc                 1
241     airlift                 4
242     airlin                  6
243     airlock                 1
244     airman                  1
245     airmen                 11
246     airplan                 7
247     airport                49
248     airstrik                3
249     airtim                  2
250     airwav                  1
251     airway                  3
252     aisl                    3
253     aj                      1
254     ajax                    1
255     ajnar                   3
256     ajw                     1
257     akaka                   2
258     akan                    2
259     akin                    3
260     akishio                 1
261     akouedo                 1
262     al                    108
263     ala                     5
264     alabama                 5
265     alain                   1
266     alami                   1
267     alamoudi                1
268     alan                    5
269     alarm                  19
270     alasan                  1
271     alaska                  3
272     alaskan                 1
273     alassan                27
274     albani                  1
275     albania                 1
276     albanian               18
277     albeit                  4
278     albert                  1
279     alberto                66
280     albright               47
281     album                   1
282     alce                    3
283     alcohol                 5
284     alehandr                1
285     alejandro              14
286     aleksa                  1
287     aleksandar              6
288     aler                    1
289     alert                  62
290     alessio                 4
291     alex                   10
292     alexa                   2
293     alexand                 9
294     alexandria              1
295     alexei                  1
296     alexeyev                1
297     alexsand                1
298     alfonso                 1
299     alfr                    2
300     alfredo                 1
301     algeria                 3
302     algerian                5
303     ali                    44
304     alia                    2
305     alibi                   1
306     alien                   3
307     alight                  1
308     align                   5
309     alija                   1
310     alik                    9
311     alisan                  2
312     alisha                  1
313     aliv                   84
314     allafrica               1
315     allah                   1
316     allahabad               2
317     allahbad                1
318     allan                   1
319     alleg                  72
320     allegedli              23
321     allegi                  1
322     allen                  22
323     allentown               1
324     alley                   2
325     alleyway                3
326     alli                   86
327     allianc                10
328     alliz                   1
329     allot                   1
330     allow                 133
331     allud                   2
332     allus                   5
333     alma                    1
334     almagor                 1
335     almost                118
336     alon                   39
337     along                 118
338     alongsid               39
339     alou                    1
340     alpha                   2
341     alphabet                3
342     alpin                   1
343     alreadi               164
344     also                  477
345     alter                   8
346     altern                 20
347     although               83
348     altitud                 1
349     altogeth                4
350     aluminum                2
351     alun                    6
352     alway                  93
353     amad                    3
354     amanda                 17
355     amarillo                2
356     amartej                 3
357     amaru                   4
358     amass                   4
359     amateur                 2
360     amaz                   10
361     amazingli               1
362     ambassador             47
363     ambersag                1
364     ambigu                  1
365     ambit                   8
366     ambiti                  2
367     ambival                 2
368     ambul                  11
369     ambush                  1
370     ameli                   6
371     amend                   2
372     amerasian               1
373     america               128
374     american              353
375     americorp               1
376     amh                     1
377     ami                     2
378     amiabl                  2
379     amic                    1
380     amid                   51
381     amidship                2
382     amin                    1
383     amit                    1
384     amman                   2
385     ammo                    1
386     ammonium                1
387     ammunit                22
388     amnesia                 2
389     amnesti                 2
390     among                 182
391     amongst                 2
392     amount                 30
393     amp                     5
394     amphibi                 3
395     ampl                    2
396     ampli                   1
397     amplifi                 1
398     amput                  12
399     ana                     7
400     anacostia               1
401     analges                 1
402     analog                  1
403     analysi                 9
404     analyst                38
405     analyz                  5
406     anarch                  2
407     anathema                1
408     anatoli                 8
409     anca                    4
410     ancestor                3
411     ancestr                25
412     ancestri                1
413     anchor                  8
414     anchorag                2
415     anchorman               3
416     ancient                 4
417     andean                  6
418     anderson                4
419     andi                    5
420     andjelkov               1
421     andoslavia              1
422     andr                   48
423     andrea                 14
424     andrei                  2
425     andrew                 15
426     andrik                  1
427     anew                    7
428     angel                  13
429     anger                  46
430     angl                   12
431     anglican                1
432     angri                  27
433     angrili                 4
434     anguish                 8
435     ani                   312
436     anim                    2
437     animist                 2
438     animos                 11
439     anjana                  1
440     anjar                   6
441     anjay                   1
442     ank                     2
443     ankl                    9
444     ann                    11
445     anna                   21
446     annabel                 1
447     annacon                 1
448     annan                  13
449     anniversari            15
450     announc               164
451     annoy                   2
452     annual                 18
453     annul                  11
454     anomali                 1
455     anonym                 63
456     anoth                 263
457     answer                 51
458     antagon                 1
459     antasiaovich            1
460     antenna                 2
461     anthem                  6
462     anthoni                27
463     anthropologist          2
464     anti                   85
465     antiballist             1
466     antibiot                5
467     anticip                17
468     anticlimact             1
469     antonia                 6
470     antonin                 1
471     antonio                26
472     anwar                   4
473     anxieti                 3
474     anxiou                 11
475     anxious                 2
476     anybodi                14
477     anymor                  9
478     anyon                  58
479     anyth                  94
480     anytim                  4
481     anyway                 13
482     anywher                18
483     aon                     1
484     ap                     20
485     apart                  69
486     ape                     1
487     apec                    4
488     apex                    1
489     apolit                  1
490     apolog                 18
491     appal                   1
492     appallingli             1
493     appar                 193
494     apparatu                7
495     appeal                 95
496     appear                196
497     appel                   1
498     appetit                 2
499     appl                    3
500     applaud                10
501     applaus                 8
502     appleton                2
503     appli                  18
504     applic                 16
505     appoint                68
506     appointe                3
507     apprais                 2
508     appreci                16
